"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
电网质量//判断电流	3		Hexing	a2	value	long_unsigned	默认100%Imax（10%Imax至120%Imax）			\	\	RW	R	旧表型以及要求精度高的采用U32，即double_long_unsigned	current	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over current begin		1-0:11.44.0.255	11.44.0						过流事件发生判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned	默认60S（范围3s-65535s）			\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over current end		1-0:11.171.0.255	11.171.0						过流事件结束判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned	默认60S（范围3s-65535s）			\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电流	3	0	Hexing		Threshold for missing current		1-0:11.134.0.255	11.134.0						失流判断阀值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电流	3	0	Hexing		 the lower threshold for missing current		1-0:11.191.0.255	11.191.0						失流电流触发下限阀值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for missing current		1-0:11.45.0.255	11.45.0						失流判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for missing current (voltage)		1-0:12.160.0.255	12.160.0						失流事件电压触发下限		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	 {-1,35}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of missing current L1		1-0:31.40.0.255	31.40.0						A相失流次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of missing current L2		1-0:51.40.0.255	51.40.0						B相失流次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of missing current L3		1-0:71.40.0.255	71.40.0						C相失流次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		Duration for missing current L1		1-0:31.41.0.255	31.41.0						A相失流持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Duration for missing current L2		1-0:51.41.0.255	51.41.0						B相失流持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Duration for missing current L3		1-0:71.41.0.255	71.41.0						C相失流持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for power unbalance		1-0:11.132.0.255	11.132.0						功率不平衡阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R		power	Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for power unbalance		1-0:11.133.0.255	11.133.0						功率不平衡判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of power unbalance		1-0:11.158.0.255	11.158.0						功率不平衡发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of power unbalance		1-0:11.159.0.255	11.159.0						功率不平衡发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for special power unbalance		1-0:11.147.0.255	11.147.0						特殊功率不平衡阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R		power	
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for special power unbalance		1-0:11.148.0.255	11.148.0						特殊功率不平衡判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for meter synchronization with CIU		1-0:11.138.0.255	11.138.0						表计与CIU主动同步阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Voltage threshold for phase failure		1-0:12.128.0.255	12.h.0	12.h.0					断相电压判断阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电流	3	0	Hexing		Current threshold for phase failure		1-0:11.160.0.255	11.160.0						断相电流判断阀值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for phase failure		1-0:12.129.0.255	12.A.0	12.A.0					断相判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for voltage unbalance		1-0:12.132.0.255	12.132.0						电压不平衡阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for voltage unbalance		1-0:12.133.0.255	12.133.0						电压不平衡判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		During of voltagee unbalance		1-0:12.174.0.255	12.174.0						电压不平衡发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of voltage unbalance		1-0:12.172.0.255	12.172.0						电压不平衡次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		Time threshold for polarity reversal		1-0:12.134.0.255	12.134.0						反极性判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压角度	3	0	Hexing		 Angle of VoltageThreshold  for polarity reversal		1-0:12.180.0.255	12.180.0						反极性时判断电压角度阀值		
电网质量//判断电压角度	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压角度	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断电压角度	3		Hexing	a3	scaler_unit	scal_unit_type	{0,8}			\	\	R	R			
电网质量//判断电压角度	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for missing neutral		1-0:92.128.0.255	92.h.0	92.h.0					缺零线检测延时		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Interval for missing neutral detection		1-0:92.129.0.255	92.A.0	92.A.0					缺零线检测间隔		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for missing neutral（V）		1-0:92.130.0.255	92.130.0						缺零线电压检测门限		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for missing neutral（%）		1-0:92.131.0.255	92.131.0						缺零线判断阈值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R	%		
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压角度	3	0	Hexing		 Angle of VoltageThreshold for missing neutral		1-0:92.134.0.255	92.134.0						缺零线时判断电压角度阀值		
电网质量//判断电压角度	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压角度	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断电压角度	3		Hexing	a3	scaler_unit	scal_unit_type	{0,8}			\	\	R	R			
电网质量//判断电压角度	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		During of missing neutral		1-0:92.133.0.255	92.133.0						缺零发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of missing neutral		1-0:92.132.0.255	92.132.0						缺零线发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	3	0	Hexing		Threshold for neutral over current		1-0:11.153.0.255	11.153.0						零线过流判断阈值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R	%		
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for neutral over current		1-0:11.154.0.255	11.154.0						零线过流判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R	%		
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率因数	3	0	Hexing		Threshold for low power factor		1-0:13.31.0.255	13.31.0						低功率因数阀值		
电网质量//判断功率因数	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率因数	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断功率因数	3		Hexing	a3	scaler_unit	scal_unit_type	{-3,255}			\	\	R	R			
电网质量//判断功率因数	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for low power factor		1-0:13.43.0.255	13.43.0						低功率因数延时		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of low power factor		1-0:13.131.0.255	13.131.0						低功率因数发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of low power factor		1-0:13.132.0.255	13.132.0						低功率因数发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for phase sequence reversal （voltage）		1-0:81.128.0.255	81.h.0	81.h.0					电压逆相序判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		During of phase sequence reversal （voltage）		1-0:12.175.0.255	12.175.0						电压逆相序发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of phase sequence reversal （voltage）		1-0:12.173.0.255	12.173.0						电压逆相序发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		Time threshold for phase sequence reversal （current）		1-0:11.149.0.255	11.149.0						电流逆相序判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for under line voltage		1-0:128.130.0.255	h.130.0						线电压欠压阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for over line voltage		1-0:128.35.0.255	h.35.0	h.35.0					线电压过压阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over line voltage		1-0:129.35.0.255	A.35.0	A.35.0					线电压过压判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for under line voltage		1-0:129.131.0.255	A.131.0	A.131.0					线电压欠压判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for high voltage attack		1-0:12.161.0.255	12.161.0						高压攻击判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断频率	3	0	Hexing		Threshold for low frequency		1-0:14.31.0.255	14.31.0						频率过低阀值		
电网质量//判断频率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断频率	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断频率	3		Hexing	a3	scaler_unit	scal_unit_type	{-2,44}			\	\	R	R			
电网质量//判断频率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for low frequency		1-0:14.33.0.255	14.33.0						频率过低延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断频率	3	0	Hexing		Threshold for high frequency		1-0:14.35.0.255	14.35.0						频率过高阀值		
电网质量//判断频率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断频率	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断频率	3		Hexing	a3	scaler_unit	scal_unit_type	{-2,44}			\	\	R	R			
电网质量//判断频率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for high frequency		1-0:14.37.0.255	14.37.0						频率过高延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for anomaly frequency		1-0:14.130.0.255	14.130.0						频率异常延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of anomaly frequency		1-0:14.131.0.255	14.131.0						频率异常次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of low anomaly frequency		1-0:14.132.0.255	14.132.0						频率异常发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of any phase failure 		1-0:12.181.0.255	12.181.0						任意相断相次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of phase failure in L1		1-0:32.137.0.255	32.137.0						A相断相次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of phase failure in L2		1-0:52.137.0.255	52.137.0						B相断相次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of phase failure in L3		1-0:72.137.0.255	72.137.0						C相断相次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		Duration for phase failure in L1		1-0:32.138.0.255	32.138.0						A相断相持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Duration for phase failure in L2		1-0:52.138.0.255	52.138.0						B相断相持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
